LGA_NAME,COUNCIL_FULL_NAME,WEBSITE_URL,LOCAL_LAWS_PAGE_URL,PLANNING_PAGE_URL,PHONE,CONTACT_EMAIL,LOCAL_LAW_NUMBER,LOCAL_LAW_YEAR,SIZE_THRESHOLD_CIRCUMFERENCE_M,SIZE_THRESHOLD_HEIGHT_M,INDIGENOUS_TREES_PROTECTED,PRUNING_THRESHOLD_PERCENT,PERMIT_FEE_STANDARD,PERMIT_FEE_CONCESSION,PROCESSING_DAYS_MIN,PROCESSING_DAYS_MAX,EXEMPTION_DEAD_DYING,EXEMPTION_EMERGENCY,EXEMPTION_FIRE_PREVENTION,EXEMPTION_FRUIT_TREES,OTHER_EXEMPTIONS,REPLACEMENT_RATIO,ARBORIST_REPORT_REQUIRED,PENALTIES_MIN,PENALTIES_MAX,NOTES,VERIFICATION_STATUS,VERIFIED_DATE,VERIFIED_BY,SOURCE_URL_1,SOURCE_URL_2
Boroondara,City of Boroondara,https://www.boroondara.vic.gov.au,https://www.boroondara.vic.gov.au/services/planning-and-building/building/works-permits/trees-and-construction/tree-works-permits,https://www.boroondara.vic.gov.au/planning-and-building,(03) 9278 4444,,Tree Protection Local Law (current),2024,1.10 at 1.4m OR 1.50 at ground,,,,,,,,,Yes,,,Works within 2m/TPZ controls (see page),,Yes,,,Permit needed to prune/remove/works near tree that meets canopy thresholds.,VERIFIED,2025-10-23,Adam (review),https://www.boroondara.vic.gov.au/services/planning-and-building/building/works-permits/trees-and-construction/tree-works-permits,
Glen Eira,Glen Eira City Council,https://www.gleneira.vic.gov.au,https://www.gleneira.vic.gov.au/services/planning-and-building/building/permits/canopy-tree-protection,https://www.gleneira.vic.gov.au/services/planning-and-building,(03) 9524 3333,,Canopy Tree Protection Local Law,2024–2025 (current web update),1.40 (at ground or 1.4m; multi-stem combined 1.40),5 (tree); 8 (palm),,10.0,$0 (permit free),,,14.0,,Yes (storm hazard make-safe),,,Minor pruning up to 10% canopy; branches ≤10 cm circumference,,Case-by-case,,,References Clause 52.37 (Canopy Trees) alignment.,VERIFIED,2025-10-23,Adam (review),https://www.gleneira.vic.gov.au/services/planning-and-building/building/permits/canopy-tree-protection,
Port Phillip,City of Port Phillip,https://www.portphillip.vic.gov.au,https://www.portphillip.vic.gov.au/planning-and-building/construction-permits/significant-tree-permit,https://www.portphillip.vic.gov.au/planning-and-building,(03) 9209 6777,,Community Amenity Local Law 2023 (Clause 55),2023,1.50 at 1.0m (multi-stem rule applies),,,,,,,,,Some exemptions (see Local Law),,,See Community Amenity Local Law 2023,,Case-by-case,,,Significant Tree Permit required in addition to any Planning Permit if applicable.,VERIFIED,2025-10-23,Adam (review),https://www.portphillip.vic.gov.au/planning-and-building/construction-permits/significant-tree-permit,
Yarra,City of Yarra,https://www.yarracity.vic.gov.au,https://www.yarracity.vic.gov.au/residents/plants-and-trees/significant-trees,https://www.yarracity.vic.gov.au/planning-building,(03) 9205 5555,,General Local Law 2016 – Significant Trees,2016,1.2566 (equiv. to 0.40 m diameter),,,,,,,,,,,,Two triggers: 40cm diameter OR on Urban Forest/Significant Tree Register,,Case-by-case,,,Measure at ground or 1.5m.,VERIFIED,2025-10-23,Adam (review),https://www.yarracity.vic.gov.au/residents/plants-and-trees/significant-trees,
Melbourne,City of Melbourne,https://www.melbourne.vic.gov.au,https://www.melbourne.vic.gov.au/exceptional-tree-register,https://www.melbourne.vic.gov.au/building-and-development,(03) 9658 9658,,No private tree local law (ETR via Planning),,,,,,,,,,,,,,Private trees protected where listed on Exceptional Tree Register (Planning controls apply),,Case-by-case (Planning),,,Council states it does not have authority over private trees except via ETR planning controls.,VERIFIED,2025-10-23,Adam (review),https://www.melbourne.vic.gov.au/exceptional-tree-register,
Bayside,Bayside City Council,https://www.bayside.vic.gov.au,https://www.bayside.vic.gov.au/services/trees-parks-and-beaches/apply-local-law-tree-pruning-or-removal-permit,https://www.bayside.vic.gov.au/planning-and-building,(03) 9599 4444,,Local Law (private trees),current,1.55 at 1.0m (single or combined; multi-trunk add 4 largest),,,10.0,,,,,,,,,,,Case-by-case,,,Clause 52.37 (Canopy Trees) referenced on page.,VERIFIED,2025-10-23,Adam (review),https://www.bayside.vic.gov.au/services/trees-parks-and-beaches/apply-local-law-tree-pruning-or-removal-permit,
Stonnington,City of Stonnington,https://www.stonnington.vic.gov.au,https://www.stonnington.vic.gov.au/Services/Trees-and-nature-strips/Tree-Works-Permit,https://www.stonnington.vic.gov.au/Planning-and-building,(03) 8290 1333,,General Local Law – Significant Trees,current,,,,,,,,,,,,,Tree Protection Zone works also controlled,,Case-by-case,,,Permit required to prune/remove/undertake works on or near a Significant Tree.,VERIFIED,2025-10-23,Adam (review),https://www.stonnington.vic.gov.au/Services/Trees-and-nature-strips/Tree-Works-Permit,
Merri-bek,Merri-bek City Council (formerly Moreland),https://www.merri-bek.vic.gov.au,https://www.merri-bek.vic.gov.au/living-in-merri-bek/environment/trees/trees-on-private-property/,https://www.merri-bek.vic.gov.au/building-and-business/planning/,(03) 9240 1111,,Local Law – Mature/Significant Tree permit,current,,,,15.0,,,,,,,,,Planning permit takes precedence if required,,Case-by-case,,,Tree Works Permit needed to prune >15% canopy or remove where tree is mature/significant or protected via planning.,VERIFIED,2025-10-23,Adam (review),https://www.merri-bek.vic.gov.au/living-in-merri-bek/environment/trees/trees-on-private-property/,https://conversations.merri-bek.vic.gov.au/significant-tree-register
Whittlesea,City of Whittlesea,https://www.whittlesea.vic.gov.au,https://www.whittlesea.vic.gov.au/Environment/Trees-and-plants/Pruning-or-removing-a-tree-on-private-property,https://www.whittlesea.vic.gov.au/Planning-and-building,(03) 9217 2170,,(Planning scheme controls; no specific private-tree local law published),,,,Yes (Native vegetation provisions),,,,,,,,,,See Whittlesea Planning Scheme / native vegetation,,Case-by-case (planning),,,Council page directs residents to check Planning Scheme and native vegetation controls for permits.,VERIFIED,2025-10-23,Adam (review),https://www.whittlesea.vic.gov.au/Environment/Trees-and-plants/Pruning-or-removing-a-tree-on-private-property,
Banyule,Banyule City Council,https://www.banyule.vic.gov.au,https://www.banyule.vic.gov.au/Planning-building/Protection-for-trees-and-vegetation,https://www.banyule.vic.gov.au/Planning-building,(03) 9490 4222,,(Planning overlays; no separate private-tree Local Law),,,,Yes (via overlays/species),,,,,,,,,,See Banyule Planning Scheme (VPO/SLO/HO etc.),,Case-by-case (planning),,,Council states tree protection via planning overlays; check VicPlan or council mapping.,VERIFIED,2025-10-23,Adam (review),https://www.banyule.vic.gov.au/Planning-building/Protection-for-trees-and-vegetation,
