LGA_NAME,COUNCIL_FULL_NAME,WEBSITE_URL,LOCAL_LAWS_PAGE_URL,PLANNING_PAGE_URL,PHONE,LOCAL_LAW_NUMBER,LOCAL_LAW_YEAR,SIZE_THRESHOLD_CIRCUMFERENCE_M,SIZE_THRESHOLD_HEIGHT_M,INDIGENOUS_TREES_PROTECTED,PRUNING_THRESHOLD_PERCENT,PERMIT_FEE_STANDARD,PERMIT_FEE_CONCESSION,PROCESSING_DAYS_MIN,PROCESSING_DAYS_MAX,EXEMPTION_DEAD_DYING,EXEMPTION_EMERGENCY,EXEMPTION_FIRE_PREVENTION,EXEMPTION_FRUIT_TREES,OTHER_EXEMPTIONS,REPLACEMENT_RATIO,ARBORIST_REPORT_REQUIRED,PENALTIES_MIN,PENALTIES_MAX,NOTES,VERIFICATION_STATUS,VERIFIED_DATE,VERIFIED_BY,SOURCE_URL_1,SOURCE_URL_2
Whittlesea,"City of Whittlesea",https://www.whittlesea.vic.gov.au,https://www.whittlesea.vic.gov.au/about-us/local-laws,https://www.whittlesea.vic.gov.au/planning-and-building,(03) 9217 2170,"Local Law No. 8",2024,0.8,,Yes,10,180.60,,28,35,Yes,Yes,Yes (10m from dwelling),Yes (domestic),,2:1,Yes (AS4970),10000,50000,,UNVERIFIED,,,https://www.whittlesea.vic.gov.au/about-us/local-laws,
Melbourne,"City of Melbourne",https://www.melbourne.vic.gov.au,https://www.melbourne.vic.gov.au/building-and-development/local-laws,https://www.melbourne.vic.gov.au/building-and-development/planning,(03) 9658 9658,"Local Law No. 2",2019,1.0,,Yes (within 5km CBD),,235.00,,21,35,Yes (AQF Level 5),Yes (imminent risk),No,No,,2:1,Yes (AQF Level 5),,,,,UNVERIFIED,,,https://www.melbourne.vic.gov.au/building-and-development/local-laws,
Yarra,"City of Yarra",https://www.yarracity.vic.gov.au,https://www.yarracity.vic.gov.au/about-us/local-laws,https://www.yarracity.vic.gov.au/planning,(03) 9205 5555,,,,0.5,5.0,Yes,20,195.00,85.00,28,28,Yes,Yes,Yes,Yes,,2:1,Yes,8000,40000,,UNVERIFIED,,,https://www.yarracity.vic.gov.au/about-us/local-laws,
Darebin,"City of Darebin",https://www.darebin.vic.gov.au,https://www.darebin.vic.gov.au/about-council/local-laws,https://www.darebin.vic.gov.au/planning,(03) 8470 8888,,,,0.6,,Yes,,175.00,,21,35,Yes,Yes,Yes,Yes,,2:1,Yes,,,,,UNVERIFIED,,,https://www.darebin.vic.gov.au/about-council/local-laws,
Moreland,"City of Moreland",https://www.moreland.vic.gov.au,https://www.moreland.vic.gov.au/about-us/local-laws,https://www.moreland.vic.gov.au/planning-and-building,(03) 9240 1111,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Banyule,"City of Banyule",https://www.banyule.vic.gov.au,https://www.banyule.vic.gov.au/about-us/local-laws,https://www.banyule.vic.gov.au/planning-and-building,(03) 9457 9944,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Boroondara,"City of Boroondara",https://www.boroondara.vic.gov.au,https://www.boroondara.vic.gov.au/about-council/local-laws,https://www.boroondara.vic.gov.au/planning-building,(03) 9278 4444,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Casey,"City of Casey",https://www.casey.vic.gov.au,https://www.casey.vic.gov.au/council/local-laws,https://www.casey.vic.gov.au/planning-building,(03) 9705 5200,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Glen Eira,"City of Glen Eira",https://www.gleneira.vic.gov.au,https://www.gleneira.vic.gov.au/about-council/local-laws,https://www.gleneira.vic.gov.au/planning-building,(03) 9524 3333,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
Greater Dandenong,"City of Greater Dandenong",https://www.greaterdandenong.vic.gov.au,https://www.greaterdandenong.vic.gov.au/local-laws,https://www.greaterdandenong.vic.gov.au/planning,(03) 8571 1000,,,,,,,,,,,,,,,,,,,,,UNVERIFIED,,,,
